SID000000 "Prêt confirmé"
SID000001 "Directeur commercial"
SID000002 "La banque a écrit afin de confirmer le versement du prêt sur notre compte."
SID000003 "%s a dû emprunter pour demeurer en course."
SID000004 "MANQUE D'ARGENT"
SID000005 "%s a effectué des investissements privés dans le cadre de sa croissance."
SID000006 "EMPRUNTER POUR GAGNER"
SID000007 "Prêt remboursé"
SID000008 "Directeur commercial"
SID000009 "La banque a confirmé notre dernier remboursement et nous a invité à faire un nouvel emprunt."
SID000010 "Investissement confirmé"
SID000011 "Directeur commercial"
SID000012 "La banque a écrit pour confirmer votre investissement. La somme a été débitée de notre compte."
SID000013 "L'écurie %s est si riche qu'elle investit dans d'autres domaines."
SID000014 "PLEIN LES POCHES"
SID000015 "Pour assurer son avenir en F1, l'écurie %s s'est lancée dans un programme d'investissement avisé."
SID000016 "CASH TEST"
SID000017 "Investissement perdu"
SID000018 "Directeur commercial"
SID000019 "Catastrophe ! Notre investissement s'est évaporé ! Nous ne récupérerons rien du tout !"
SID000020 "Mauvaise nouvelle ! Notre investissement est moins bon que prévu. Nous ne toucherons que %d%% de ce que nous escomptions."
SID000021 "Mauvais retour sur investissement"
SID000022 "Directeur commercial"
SID000023 "Investissement mûr"
SID000024 "Directeur commercial"
SID000025 "La banque a confirmé notre retour sur investissement. L'argent a été versé sur notre compte. La banque aimerait que nous envisagions un autre investissement avec eux."
SID000026 "Question de parts"
SID000027 "Directeur commercial"
SID000028 "Je peux confirmer le bon déroulement de la vente de parts, et le versement de l'argent correspondant sur notre compte. Prenez garde à ne pas vendre un trop grand nombre de parts."
SID000029 "Question de parts - Risques"
SID000030 "Directeur commercial"
SID000031 "La vente de parts a eu lieu. N'en vendez pas trop. Si vous vendez plus de 50 %, vous risquez de perdre le contrôle de l'écurie."
SID000032 "Les actionnaires tiennent l'écurie"
SID000033 "Directeur commercial"
SID000034 "Après cette vente de parts, vous n'êtes plus l'actionnaire majoritaire. Si vos résultats sont mauvais, les actionnaires pourront vous forcer à partir."
SID000035 "A la suite de ventes de parts excessives, %s ne contrôle plus l'écurie %s."
SID000036 "OUI MONSIEUR, NON MONSIEUR"
SID000037 "%s a vendu des parts de l'écurie %s à un prix trop bas."
SID000038 "PRIX D'AMI"
SID000039 "On estime que %s est la cible d'une OPA hostile."
SID000040 "ASSIEGES"
SID000041 "%s a offert au public la chance rare d'acquérir des parts de l'écurie."
SID000042 "LES FANS ACHETENT L'ECURIE"
SID000043 "%s s'est assuré un important soutien financier grâce à la vente de parts."
SID000044 "FORTE ASSISE"
SID000045 "Bonne chance"
SID000046 "Directeur commercial"
SID000047 "J'ai tenté de vous prévenir. Bonne chance dans votre nouveau travail. Je vous appellerai un de ces jours, lorsque je serai moins occupé."
SID000048 "%s a été renvoyé par les actionnaires de %s. Un nouveau patron prendra ses fonctions cette semaine."
SID000049 "CHANGEMENT DE DIRECTION"
SID000050 "Vous avez réaffecté tout le personnel qui s'occupait de l'accord %s. Nous avons fait quelques progrès, et vous devriez réaffecter quelques personnes aux négociations le plus tôt possible."
SID000051 "Affectation du personnel"
SID000052 "Directeur commercial"
SID000053 "Nous avons travaillé avec %s, et connaissons maintenant la nature de l'accord."
SID000054 "Termes de l'accord %s"
SID000055 "Directeur commercial"
SID000056 "%s ne nous offrira pas un accord d'usine car nos résultats sont insuffisants. Un accord de partenaire ou de client est envisageable."
SID000057 "Pas d'accord d'usine"
SID000058 "Directeur commercial"
SID000059 "%s nous a laissé tomber en raison de nos mauvais résultats. Nous allons devoir trouver un autre sponsor d'écurie."
SID000060 "Pas d'accord d'écurie"
SID000061 "Directeur commercial"
SID000062 "Nous avons discuté avec %s, mais nous ignorons encore quel type d'accord ils souhaitent passer."
SID000063 "Rencontre avec %s"
SID000064 "Directeur commercial"
SID000065 "Je suis heureux de confirmer que nous avons signé un accord avec %s."
SID000066 "Signature avec %s"
SID000067 "Directeur commercial"
SID000068 "%s a ajouté %s sur sa liste de sponsors."
SID000069 "SIGNATURE CASH"
SID000070 "%s a obtenu un accord de sponsor d'écurie auprès de %s."
SID000071 "ACCORD MAJEUR"
SID000072 "L'accord client avec %s a été signé. Espérons qu'il ne nous coûtera pas trop cher."
SID000073 "Accord client signé"
SID000074 "Directeur commercial"
SID000075 "La saison prochaine, %s utilisera les moteurs clients de %s."
SID000076 "VOITURE DE LOCATION"
SID000077 "La saison prochaine, %s roulera avec des pneus %s."
SID000078 "ACCORD GONFLE"
SID000079 "L'an prochain, %s utilisera du carburant %s."
SID000080 "CA CARBURE"
SID000081 "%s a signé un accord de partenaire avec nous. C'est une excellente nouvelle."
SID000082 "Accord partenaire signé"
SID000083 "Directeur commercial"
SID000084 "%s a annoncé son partenariat avec %s."
SID000085 "NOUVELLE FORCE EN F1"
SID000086 "%s et %s ont conclu un accord de partenariat."
SID000087 "CA ROULERA L'AN PROCHAIN"
SID000088 "%s a signé un contrat de joint venture avec %s pour la prochaine saison."
SID000089 "LE PLEIN EST FAIT"
SID000090 "L'accord d'usine avec %s a été signé. Il devrait nous fournir un réel avantage."
SID000091 "Accord d'usine signé"
SID000092 "Directeur commercial"
SID000093 "%s a signé un important accord d'usine avec %s."
SID000094 "PUISSANCE"
SID000095 "%s a signé un accord de développement majeur avec %s."
SID000096 "BONNE ACCROCHE"
SID000097 "%s et %s ont conclu un accord dans le cadre d'une nouvelle alliance majeure en F1."
SID000098 "OR LIQUIDE"
SID000099 "Catastrophe ! %s a signé un accord d'Usine avec %s. Nous ne pouvons espérer de %s qu'un accord de partenaire ou de client."
SID000100 "Accord d'usine perdu"
SID000101 "Directeur commercial"
SID000102 "Mauvaise nouvelle ! %s a conclu un accord de partenaire avec %s. Nous ne pouvons plus espérer qu'un accord client."
SID000103 "Accord partenaire perdu"
SID000104 "Directeur commercial"
SID000105 "%s s'est retiré de l'accord avec %s à la dernière minute, et a signé avec %s."
SID000106 "LEUR VRAI VISAGE"
SID000107 "C'est terrible ! %s a signé un accord avec %s, et a mis un terme aux négociations avec nous."
SID000108 "Accord de sponsor perdu"
SID000109 "Directeur commercial"
SID000110 "%s s'est retiré de l'accord avec %s au dernier moment, et a signé avec %s."
SID000111 "LEUR VRAI VISAGE"
