SID000000 "Loan Confirmed"
SID000001 "Commercial Manager"
SID000002 "The bank has written to confirm that the loan has been credited to our account."
SID000003 "%s has had to borrow money to stay in business."
SID000004 "CAP IN HAND"
SID000005 "%s has secured private investment as part of a growth initiative."
SID000006 "BORROW TO WIN"
SID000007 "Loan Repaid"
SID000008 "Commercial Manager"
SID000009 "The bank has confirmed our final loan repayment and has invited us to take out further borrowing."
SID000010 "Investment Confirmed"
SID000011 "Commercial Manager"
SID000012 "The bank has written to confirm your investment. The cash has been debited from our account."
SID000013 "%s is so wealthy that it is now taking its money away from motorsport."
SID000014 "CASH TO BURN"
SID000015 "To ensure its future in F1, %s has embarked on a careful investment programme."
SID000016 "CASH TEST"
SID000017 "Investment Lost"
SID000018 "Commercial Manager"
SID000019 "Disastrous news! Our investment has been wiped out! We are getting no cash in return!"
SID000020 "Bad news! Our investment has not worked out. The return is only %d%% of what we expected."
SID000021 "Poor Investment Return"
SID000022 "Commercial Manager"
SID000023 "Investment Matures"
SID000024 "Commercial Manager"
SID000025 "The bank has confirmed return of your investment. The cash has been credited to our account. The bank would like us to consider further investment with them."
SID000026 "Share Issue"
SID000027 "Commercial Manager"
SID000028 "I can confirm that the share sale has gone through, and that the money is now in our account. Be careful not to sell too many shares."
SID000029 "Share Issue - Risks"
SID000030 "Commercial Manager"
SID000031 "The sale of shares has now gone through. Do not sell too many. If you sell over 50% you may lose control of the team."
SID000032 "Shareholders Own Team"
SID000033 "Commercial Manager"
SID000034 "Following the share sale you are no longer the majority share holder. If you perform badly in your job, the shareholders may force you out."
SID000035 "Excessive share sales mean that %s no longer controls the %s team."
SID000036 "YES SIR, NO SIR"
SID000037 "%s has sold shares in the %s team for too low a price."
SID000038 "BARGAIN PRICES"
SID000039 "It is believed that %s is the target of a hostile share take-over."
SID000040 "UNDER SIEGE"
SID000041 "%s has given the public a rare chance to buy shares in the team."
SID000042 "FANS BUY TEAM"
SID000043 "%s has secured sound financial backing through a share issue."
SID000044 "STRONG BACKING"
SID000045 "Best Wishes"
SID000046 "Commercial Manager"
SID000047 "I tried to warn you. Best of luck in your new job. I will give you a call some time, when I am less busy."
SID000048 "%s has been fired by the shareholders of %s. A new boss takes over this week."
SID000049 "UNDER NEW MANAGEMENT"
SID000050 "You have pulled everyone off the %s deal. We have made some progress here, so you should put staff back on the negotiations as soon as possible."
SID000051 "Staff Shuffle"
SID000052 "Commercial Manager"
SID000053 "We have been working with %s, and now know what the deal is."
SID000054 "%s Deal Terms"
SID000055 "Commercial Manager"
SID000056 "%s will not offer us a Works deal, because we are not successful enough. A Partner or Customer deal may be possible."
SID000057 "No Works Deal"
SID000058 "Commercial Manager"
SID000059 "%s has turned us down, because we are not competitive enough. We will have to find another Team Sponsor."
SID000060 "No Team Deal"
SID000061 "Commercial Manager"
SID000062 "We have been talking to %s, but we still do not know what kind of deal they want."
SID000063 "Meeting With %s"
SID000064 "Commercial Manager"
SID000065 "I am happy to confirm that we have signed an agreement with %s."
SID000066 "%s Signed"
SID000067 "Commercial Manager"
SID000068 "%s has signed %s to its Sponsorship roster."
SID000069 "CASH SIGNING"
SID000070 "%s has completed a Team Sponsorship deal with %s."
SID000071 "MAJOR DEAL"
SID000072 "The Customer Deal with %s has been signed. Hopefully it will not cost us too much."
SID000073 "Customer Deal Signed"
SID000074 "Commercial Manager"
SID000075 "Next season %s will be using %s customer engines."
SID000076 "PAY PER DRIVE"
SID000077 "Next year %s will be getting its tyres from %s."
SID000078 "TIRED DEAL"
SID000079 "Next year, %s will be buying fuel from %s."
SID000080 "PIT STOPPED"
SID000081 "%s has signed a Partner Deal with us. This is great news."
SID000082 "Partner Deal Signed"
SID000083 "Commercial Manager"
SID000084 "%s has gone into partnership with %s."
SID000085 "NEW FORCE IN F1"
SID000086 "%s and %s have entered into a partnership arrangement."
SID000087 "ROLL ON NEXT YEAR"
SID000088 "%s has signed a joint venture deal with %s for next season."
SID000089 "RUNNING ON FULL"
SID000090 "The Works Deal with %s has been signed. This should give us a real edge over our rivals."
SID000091 "Works Deal Signed"
SID000092 "Commercial Manager"
SID000093 "%s has signed a landmark works deal with %s."
SID000094 "POWER HOUSE"
SID000095 "%s has signed a major development deal with %s."
SID000096 "FIRM GRIP"
SID000097 "%s and %s have agreed a deal that is part of a major new F1 alliance."
SID000098 "LIQUID GOLD"
SID000099 "Disastrous news! %s has signed a Works deal with %s. The best we can expect from %s is a Partner or Customer deal."
SID000100 "Lost Works Deal"
SID000101 "Commercial Manager"
SID000102 "Bad news! %s has agreed a Partner deal with %s. The best we can get now is a Customer Deal."
SID000103 "Lost Partner Deal"
SID000104 "Commercial Manager"
SID000105 "%s has pulled out of a deal with %s at the last minute, and has signed with %s."
SID000106 "NOW YOU SEE THEM"
SID000107 "Terrible news! %s has signed a deal with %s, and closed negotiations with us."
SID000108 "Lost Sponsor Deal"
SID000109 "Commercial Manager"
SID000110 "%s has pulled out of a deal with %s at the last minute, and have signed with %s."
SID000111 "NOW YOU SEE THEM"
SID000112 "Our excellent race performance has given us a Race Advantage we can use in our negotiations with Sponsors."
SID000113 "Race Advantage"
SID000114 "Commercial Manager"
SID000115 "%s is unhappy with our performance, and has activated a penalty clause in our deal, reducing this month's payment."
SID000116 "%s Cut Cash"
SID000117 "Commercial Manager"
SID000118 "%s is delighted with our performance, and has paid us a bonus this month."
SID000119 "%s Pay Bonus"
SID000120 "Commercial Manager"
SID000121 "DRIVER CASH LEVEL"
SID000122 "%s has decreased his cash level."
SID000123 "%s is reducing his cash commitment next year. I do not know by how much."
SID000124 "Driver Loses Backing"
SID000125 "Team Manager"
SID000126 "DRIVER CASH LEVEL"
SID000127 "%s has increased his cash level."
SID000128 "%s is increasing his cash commitment next year. I am not sure by how much."
